id,name,gender,age,height,weight
725,Olivia Moore 725,M,33,150,51
726,Ava Taylor 726,F,34,199,67
727,Mason Johnson 727,M,21,174,86
728,Ava Taylor 728,F,37,194,76
729,Sophia Taylor 729,F,27,178,62
730,Maria Taylor 730,F,35,205,85
731,Ava Davis 731,M,24,189,82
732,Liam Johnson 732,M,34,184,86
733,John Wilson 733,F,36,186,98
734,Ava Miller 734,F,18,183,58
735,Alex Taylor 735,M,19,192,52
736,Emma Miller 736,M,27,193,77
737,Maria Smith 737,F,24,198,49
738,Liam Moore 738,M,37,205,73
739,Ava Taylor 739,M,34,200,81
740,Alex Taylor 740,F,31,200,85
741,Ava Smith 741,M,26,162,101
742,Emma Wilson 742,M,24,168,102
743,Maria Brown 743,M,23,197,110
744,John Taylor 744,M,31,167,78
745,Maria Johnson 745,F,18,171,104
746,Maria Smith 746,M,28,188,51
747,Mason Miller 747,F,36,185,90
748,John Wilson 748,M,23,183,53
749,Ava Johnson 749,F,35,184,96
750,John Wilson 750,M,24,192,87
751,Liam Wilson 751,F,24,198,105
752,Ava Smith 752,M,29,178,75
753,Mason Lee 753,M,19,193,86
754,Noah Brown 754,F,26,184,81
755,Alex Clark 755,F,34,201,110
756,Olivia Moore 756,M,27,191,69
757,Liam Clark 757,M,21,160,45
758,John Davis 758,M,31,203,58
759,Emma Clark 759,F,38,202,54
760,Maria Smith 760,F,28,152,56
761,John Smith 761,M,26,185,54
762,Mason Davis 762,F,31,174,102
763,Noah Taylor 763,F,18,174,60
764,Ava Smith 764,M,36,152,54
765,Liam Clark 765,M,27,200,83
766,Mason Brown 766,F,32,174,95
767,Alex Moore 767,M,35,164,62
768,Noah Clark 768,F,38,159,83
769,Liam Smith 769,M,21,152,45
770,Mason Lee 770,F,35,185,55
771,Sophia Davis 771,F,24,176,110
772,Maria Johnson 772,M,25,189,77
773,Emma Brown 773,M,36,204,51
774,Ava Moore 774,M,27,192,53
775,Sophia Brown 775,M,36,181,87
776,Liam Johnson 776,M,21,168,53
777,Emma Wilson 777,F,32,171,84
778,Mason Johnson 778,F,28,177,66
779,Alex Wilson 779,M,25,195,100
780,Sophia Wilson 780,M,28,180,104
781,Olivia Wilson 781,F,33,185,58
782,Maria Lee 782,M,26,204,62
783,Ava Davis 783,F,38,154,54
784,Alex Clark 784,M,36,187,96
785,Mason Davis 785,M,35,166,105
786,Maria Wilson 786,F,25,199,82
787,Maria Moore 787,M,30,173,109
788,Alex Davis 788,M,34,158,102
789,Maria Johnson 789,M,33,172,50
790,Emma Moore 790,M,20,166,92
791,Emma Smith 791,M,34,200,91
792,Noah Moore 792,F,19,152,86
793,John Clark 793,F,26,187,67
794,Noah Taylor 794,F,36,191,54
795,Ava Miller 795,F,25,183,96
796,Liam Wilson 796,F,33,188,45
797,Ava Johnson 797,F,23,164,54
798,Ava Miller 798,M,22,161,65
799,Liam Lee 799,M,25,176,87
800,John Moore 800,F,33,163,65
801,Noah Smith 801,M,19,158,65
802,Maria Clark 802,M,36,159,52
803,Maria Miller 803,M,34,175,47
804,Sophia Brown 804,M,32,188,105
805,Olivia Johnson 805,M,31,188,63
806,Mason Johnson 806,F,23,196,88
807,Olivia Lee 807,M,25,174,94
808,Maria Brown 808,M,24,183,109
809,Noah Johnson 809,M,23,180,49
810,Ava Clark 810,M,20,180,61
811,Mason Clark 811,M,38,177,98
812,Liam Smith 812,F,25,201,106
813,Noah Wilson 813,M,31,158,77
814,Olivia Davis 814,M,27,188,97
815,Sophia Davis 815,M,18,186,60
816,Ava Smith 816,F,38,163,85
817,Noah Wilson 817,M,22,177,77
818,Sophia Clark 818,F,36,173,80
819,Noah Davis 819,F,35,200,106
820,Maria Wilson 820,F,26,169,89
821,Noah Johnson 821,M,25,178,65
822,John Davis 822,F,28,201,51
823,Maria Taylor 823,M,20,202,63
824,Olivia Lee 824,F,20,154,78
825,Emma Wilson 825,M,37,152,94
826,Noah Lee 826,F,37,153,67
827,Olivia Moore 827,M,24,204,81
828,Emma Smith 828,M,37,160,49
829,Liam Davis 829,M,23,155,80
830,Noah Wilson 830,F,30,187,70
831,Ava Smith 831,M,20,185,81
832,Ava Lee 832,F,29,202,80
833,Emma Lee 833,M,32,175,45
834,Sophia Johnson 834,F,34,156,54
835,Ava Miller 835,F,21,201,110
836,Sophia Clark 836,F,32,174,106
837,Emma Wilson 837,F,32,187,48
838,Olivia Brown 838,F,20,174,73
839,Emma Wilson 839,F,29,183,46
840,Sophia Davis 840,F,20,175,88
841,John Clark 841,M,33,170,90
842,Emma Lee 842,F,23,197,69
843,Olivia Davis 843,M,25,205,78
844,Emma Davis 844,M,25,203,90
845,Maria Brown 845,M,20,193,108
846,Mason Smith 846,M,33,173,85
847,Olivia Lee 847,F,33,161,110
848,Sophia Taylor 848,M,36,158,51
849,Ava Taylor 849,F,35,152,109
850,Liam Taylor 850,M,32,157,103
851,Liam Smith 851,M,24,174,57
852,Liam Wilson 852,F,23,185,78
853,Emma Miller 853,F,37,171,91
854,Maria Moore 854,F,24,176,92
855,Liam Taylor 855,F,32,161,61
856,Mason Davis 856,M,26,201,75
857,Ava Taylor 857,F,24,159,64
858,Olivia Smith 858,M,31,181,62
859,Ava Clark 859,F,33,169,77
860,Ava Lee 860,M,30,156,65
861,Alex Davis 861,F,33,203,57
862,Olivia Wilson 862,F,29,173,77
863,Liam Smith 863,F,21,172,70
864,Mason Lee 864,M,27,172,86
865,Ava Moore 865,F,20,174,81
866,Olivia Johnson 866,M,38,201,88
867,Noah Lee 867,F,20,155,65
868,Liam Davis 868,F,28,191,82
869,Sophia Lee 869,F,26,178,91
870,Mason Clark 870,F,31,160,68
871,Alex Johnson 871,M,26,197,55
872,Emma Johnson 872,F,21,156,53
873,Olivia Clark 873,M,18,199,95
874,Ava Brown 874,M,26,189,64
875,John Taylor 875,F,25,165,81
876,Olivia Johnson 876,M,34,203,66
877,Alex Smith 877,F,28,205,105
878,Olivia Clark 878,F,35,178,62
879,Ava Johnson 879,F,38,197,100
880,Ava Clark 880,F,29,180,74
881,John Moore 881,F,29,176,78
882,Maria Miller 882,M,18,183,62
883,Liam Miller 883,F,35,150,107
884,Olivia Miller 884,M,31,201,82
885,Mason Davis 885,M,35,173,69
886,Noah Clark 886,F,30,165,65
887,Noah Taylor 887,M,26,155,99
888,Emma Clark 888,F,27,191,79
889,Noah Davis 889,M,23,158,82
890,John Moore 890,F,26,194,107
891,Emma Wilson 891,M,22,153,47
892,Maria Brown 892,F,26,158,101
893,Alex Davis 893,M,22,150,108
894,Emma Wilson 894,F,27,200,108
895,Liam Moore 895,M,28,155,63
896,Alex Miller 896,F,20,184,105
897,Maria Davis 897,F,30,203,46
898,John Davis 898,F,32,165,49
899,Emma Moore 899,M,34,192,71
900,Olivia Taylor 900,F,28,160,50
901,Ava Clark 901,M,26,180,83
902,Emma Wilson 902,M,24,157,75
903,Noah Wilson 903,M,23,200,80
904,Mason Brown 904,F,25,150,50
905,Mason Moore 905,M,29,199,56
906,Emma Johnson 906,F,20,193,88
907,Alex Smith 907,F,38,159,58
908,Maria Moore 908,M,28,185,89
909,Olivia Davis 909,M,30,172,62
910,Sophia Smith 910,F,32,185,82
911,Ava Moore 911,M,36,161,89
912,Liam Moore 912,F,37,205,65
913,John Clark 913,M,32,168,78
914,Ava Wilson 914,F,18,199,109
915,Noah Johnson 915,M,37,204,91
916,Mason Davis 916,F,20,192,94
917,Emma Clark 917,F,35,159,81
918,Liam Taylor 918,F,21,156,53
919,Alex Johnson 919,M,19,162,58
920,Olivia Davis 920,M,19,186,94
921,Olivia Clark 921,F,19,173,73
922,Mason Brown 922,M,24,191,107
923,John Moore 923,M,29,185,98
924,Liam Smith 924,F,34,152,54
925,Sophia Brown 925,M,34,156,57
926,Emma Clark 926,F,24,162,76
927,Mason Johnson 927,F,21,199,90
928,Olivia Taylor 928,M,23,200,68
929,Ava Taylor 929,F,23,184,101
930,Liam Wilson 930,F,29,176,100
931,Liam Lee 931,M,36,184,72
932,Noah Clark 932,F,29,178,102
933,Noah Smith 933,M,27,188,47
934,Ava Johnson 934,F,18,169,73
935,Emma Wilson 935,M,26,185,110
936,Ava Lee 936,M,21,152,103
937,Liam Johnson 937,M,26,173,76
938,Emma Miller 938,F,20,186,96
939,Mason Davis 939,M,28,200,106
940,Maria Moore 940,M,37,191,83
941,Alex Lee 941,F,20,199,52
942,Liam Wilson 942,F,31,205,60
943,Emma Lee 943,M,38,199,93
944,Alex Miller 944,M,28,184,64
945,Liam Clark 945,M,22,153,95
946,Olivia Lee 946,M,25,177,82
947,Noah Johnson 947,M,28,155,105
948,Mason Smith 948,F,26,155,96
949,Ava Taylor 949,M,22,180,70
950,Olivia Taylor 950,M,35,189,76
951,Emma Brown 951,F,31,170,56
952,John Taylor 952,F,29,172,69
953,Liam Wilson 953,M,27,160,89
954,Mason Moore 954,M,32,152,74
955,Emma Wilson 955,M,20,157,51
956,Emma Lee 956,M,27,150,88
957,John Miller 957,F,33,151,87
958,Emma Clark 958,M,24,184,78
959,Ava Moore 959,M,18,174,50
960,Sophia Johnson 960,M,27,162,79
961,Alex Moore 961,M,20,174,79
962,Liam Brown 962,M,27,205,94
963,Emma Taylor 963,M,28,181,56
964,Maria Davis 964,F,35,195,47
965,Alex Davis 965,F,28,181,95
966,Maria Smith 966,F,29,172,83
967,Emma Clark 967,F,19,190,77
968,Noah Smith 968,F,25,159,88
969,Noah Johnson 969,M,30,183,74
970,Noah Davis 970,M,31,169,87
971,Olivia Clark 971,M,24,191,62
972,Mason Clark 972,M,22,169,62
973,Noah Johnson 973,M,28,154,60
974,Maria Wilson 974,M,18,198,85
975,Noah Taylor 975,F,32,197,80
976,Maria Davis 976,M,22,161,48
977,Mason Lee 977,F,37,186,74
978,Mason Davis 978,M,18,172,55
979,Olivia Johnson 979,F,38,173,68
980,Noah Moore 980,F,22,160,69
981,Emma Smith 981,F,18,167,97
982,Emma Davis 982,M,20,161,101
983,Mason Moore 983,F,32,165,99
984,Noah Smith 984,F,28,175,49
985,Ava Brown 985,F,32,202,50
986,Emma Clark 986,F,19,185,94
987,Ava Smith 987,M,27,178,95
988,Sophia Miller 988,F,23,177,82
989,Mason Smith 989,M,32,203,102
990,John Clark 990,M,23,199,62
991,Noah Taylor 991,F,32,151,67
992,Olivia Lee 992,M,32,155,77
993,Liam Johnson 993,M,20,157,102
994,Liam Brown 994,F,34,189,65
995,Noah Clark 995,F,19,199,66
996,Liam Lee 996,M,23,205,63
997,Maria Smith 997,F,27,169,102
998,Sophia Johnson 998,M,22,162,45
999,Mason Miller 999,M,32,181,108
1000,Ava Smith 1000,F,25,163,105
